"","Domain","Phylum","Class","Order","Family","Genus","Species","InSeagrass","InMark"
"119","Eukaryota","Florideophycidae","Nemaliophycidae","Nemaliophycidae_or","Nemaliophycidae_fa","Audouinella","Audouinella","y","y"
"120","Eukaryota","Florideophycidae","Nemaliophycidae","Nemaliophycidae_or","Nemaliophycidae_fa","Colaconema","Colaconema","y","n"
"121","Eukaryota","Florideophycidae","Nemaliophycidae","Nemaliophycidae_or","Nemaliophycidae_fa","Nemaliophycidae_fa","Nemaliophycidae_fa","y","y"
"122","Eukaryota","Florideophycidae","Nemaliophycidae","Nemaliophycidae_or","Nemaliophycidae_fa","Rhodophysema","Rhodophysema","y","y"
"123","Eukaryota","Nematoda","Nematoda","Nematoda","Nematoda","Nematoda","Nematoda","y","n"
"124","Eukaryota","Mollusca","Polyplacophora","Neoloricata","Neoloricata","Neoloricata","Neoloricata","y","n"
"125","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus","Candidatus_Nitrosopelagicus","y","n"
"126","Archaea","Thaumarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus","Candidatus_Nitrosopumilus","y","n"
"127","Eukaryota","Ochrophyta","Chrysophyceae","Ochromonadales","Ochromonadales_fa","Paraphysomonas","Paraphysomonas","y","n"
"128","Eukaryota","Ochrophyta","Ochrophyta","Ochrophyta","Ochrophyta","Ochrophyta","Ochrophyta","y","y"
"129","Eukaryota","Ochrophyta","Ochrophyta_cl","Ochrophyta_or","Ochrophyta_fa","Bolidomonas","Bolidomonas","y","n"
"130","Eukaryota","Ochrophyta","Dictyochophyceae","Pedinellales","Pedinellales_fa","Pteridomonas","Pteridomonas","y","n"
"131","Eukaryota","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Heterocapsa","Heterocapsa","y","n"
"132","Eukaryota","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniphycidae","Peridiniphycidae","Peridiniphycidae","y","n"
"133","Eukaryota","Dinoflagellata","Dinophyceae","Peridiniphycidae","Thoracosphaeraceae","Scrippsiella","Scrippsiella","y","y"
"134","Eukaryota","Dinoflagellata","Dinophyceae","Peridiniphycidae","Thoracosphaeraceae","Thoracosphaeraceae","Thoracosphaeraceae","y","n"
"135","Eukaryota","Peronosporomycetes","Peronosporomycetes_cl","Peronosporomycetes_or","Peronosporomycetes_fa","Atkinsiella","Atkinsiella","y","n"
"136","Eukaryota","Peronosporomycetes","Peronosporomycetes_cl","Peronosporomycetes_or","Peronosporomycetes_fa","Lagenidium","Lagenidium","y","n"
"137","Eukaryota","Peronosporomycetes","Peronosporomycetes_cl","Peronosporomycetes_or","Peronosporomycetes_fa","Peronosporomycetes_fa","Peronosporomycetes_fa","y","y"
"138","Eukaryota","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza","Peziza","y","n"
"139","Eukaryota","Ochrophyta","Phaeophyceae","Phaeophyceae","Phaeophyceae","Phaeophyceae","Phaeophyceae","y","n"
"140","Eukaryota","Annelida","Polychaeta","Phyllodocida","Phyllodocida","Phyllodocida","Phyllodocida","y","y"
"141","Eukaryota","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Cucurbitariaceae","Cucurbitariaceae","y","n"
"142","Eukaryota","Rotifera","Monogononta","Ploimida","Ploimida","Ploimida","Ploimida","y","y"
"143","Eukaryota","Arthropoda","Ostracoda","Podocopida","Podocopida","Podocopida","Podocopida","y","n"
"144","Eukaryota","Annelida","Polychaeta","Polychaeta","Polychaeta","Polychaeta","Polychaeta","y","n"
"145","Eukaryota","Chlorophyta_ph","Trebouxiophyceae","Prasiolales","Prasiolales_fa","Stichococcus","Stichococcus","y","n"
"146","Eukaryota","Ichthyosporea","Ichthyophonae","Pseudoperkinsidae","Pseudoperkinsidae_fa","Creolimax","Creolimax","y","n"
"147","Eukaryota","Platyhelminthes","Rhabditophora","Rhabdocoela","Rhabdocoela","Rhabdocoela","Rhabdocoela","y","y"
"148","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae","Rhodymeniophycidae","Rhodymeniophycidae","Rhodymeniophycidae","y","y"
"149","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa","Antithamnion","Antithamnion","y","y"
"150","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa","Harveyella","Harveyella","y","y"
"151","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa","Odonthalia","Odonthalia","y","y"
"152","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa","Phycodrys","Phycodrys","y","y"
"153","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa","Polysiphonia","Polysiphonia","y","y"
"154","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa","Rhodomela","Rhodomela","y","y"
"155","Eukaryota","Florideophycidae","Rhodymeniophycidae","Rhodymeniophycidae_or","Rhodymeniophycidae_fa","Rhodymeniophycidae_fa","Rhodymeniophycidae_fa","y","y"
