Location,Kingdom,Phylum,Class,Order,Family,Genus,Species
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10_marine_group,NS10_marine_group
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,NS11-12_marine_group
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,NS2b_marine_group
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS3a_marine_group,NS3a_marine_group
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NS4_marine_group
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NS5_marine_group
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,NS9_marine_group
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Nubsella,Nubsella
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales,Oceanospirillales
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116_clade,OCS116_clade,OCS116_clade
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter,Octadecabacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oleiphilaceae,Oleiphilus,Oleiphilus
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,oleovorans
MH Harbour Seagrass Medow,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,Oligoflexales,Oligoflexales,Oligoflexales
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,OM182_clade,OM182_clade,OM182_clade,OM182_clade
MH Harbour Seagrass Medow,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,OM190
MH Harbour Seagrass Medow,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,OM27_clade
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43_clade,OM43_clade
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade,OM60(NOR5)_clade
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Ornithobacterium,Ornithobacterium
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pacificibacter,Pacificibacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,pacificus
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,Paraglaciecola
MH Harbour Seagrass Medow,Bacteria,Gemmatimonadota,PAUC43f_marine_benthic_group,PAUC43f_marine_benthic_group,PAUC43f_marine_benthic_group,PAUC43f_marine_benthic_group,PAUC43f_marine_benthic_group
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,pauculus
MH Harbour Seagrass Medow,Bacteria,Desulfobacterota,Desulfuromonadia,PB19,PB19,PB19,PB19
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tateyamaria,pelophila
MH Harbour Seagrass Medow,Bacteria,Actinobacteriota,Actinobacteria,PeM15,PeM15,PeM15,PeM15
MH Harbour Seagrass Medow,Bacteria,Bdellovibrionota,Bdellovibrionia,Bacteriovoracales,Bacteriovoracaceae,Peredibacter,Peredibacter
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,persica
MH Harbour Seagrass Medow,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Persicirhabdus,Persicirhabdus
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Perspicuibacter,Perspicuibacter
MH Harbour Seagrass Medow,Bacteria,Cyanobacteria,Cyanobacteriia,Phormidesmiales,Phormidesmiaceae,Phormidesmis_ANT.LACV5.1,Phormidesmis_ANT.LACV5.1
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,PHOS-HE36,PHOS-HE36,PHOS-HE36
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Pibocella,Pibocella
MH Harbour Seagrass Medow,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellulaceae,Pirellulaceae
MH Harbour Seagrass Medow,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktotalea,Planktotalea
MH Harbour Seagrass Medow,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcaceae,Planococcaceae
MH Harbour Seagrass Medow,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Pleurocapsa_PCC-7319,Pleurocapsa_PCC-7319
MH Harbour Seagrass Medow,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter
